Name,Year,Rating,Date
Cinderella,2021,0.5,9/6/2021
Coming 2 America,2021,3,9/6/2021
Carrie,1976,3.5,9/6/2021
Black Swan,2010,4,9/8/2021
Naked Lunch,1991,3,9/8/2021
The Killing of a Sacred Deer,2017,4,9/9/2021
Nobody,2021,3,9/10/2021
Candyman,2021,3.5,9/10/2021
Evangelion: 1.0 You Are (Not) Alone,2007,3,9/11/2021
Evangelion: 2.0 You Can (Not) Advance,2009,3.5,9/11/2021
Freaky,2020,2.5,9/11/2021
Doctor Strange,2016,3,9/12/2021
Shrek,2001,4.5,9/12/2021
The Card Counter,2021,4.5,9/13/2021
The Stuff,1985,3.5,9/14/2021
Shang-Chi and the Legend of the Ten Rings,2021,3,9/15/2021
Brazil,1985,4.5,9/16/2021
He's All That,2021,1.5,9/16/2021
Hellraiser,1987,3.5,9/17/2021
Loki,2021,4,9/17/2021
Thor: The Dark World,2013,2.5,9/18/2021
The Red Shoes,1948,4,9/21/2021
9/21/2021,2021,,9/21/2021
Suspiria,1977,3.5,9/22/2021
Before Sunrise,1995,5,9/23/2021
A Ship Bound For India,1947,2.5,9/23/2021
Señorita,2011,3,9/24/2021
Before Sunset,2004,5,9/25/2021
Hustlers,2019,3.5,9/25/2021
Before Midnight,2013,5,9/26/2021
Sisters,1972,4,9/26/2021
Dear Evan Hansen,2021,2,9/28/2021
Casino Royale,2006,3.5,9/28/2021
Apparition,2012,2.5,9/29/2021
They Live,1988,5,9/30/2021
Scooby-Doo! and KISS: Rock and Roll Mystery,2015,2,10/3/2021
Titane,2021,4,10/4/2021
Quantum of Solace,2008,2.5,10/5/2021
Malignant,2021,2.5,10/6/2021
Stop Making Sense,1984,5,10/7/2021
